rxns	TCGA-44-6148-11	TCGA-50-5939-11	TCGA-49-6761-11	TCGA-55-6971-11	TCGA-91-6835-11	TCGA-38-4632-11	TCGA-49-6745-11	TCGA-44-2668-11	TCGA-91-6831-11	TCGA-55-6982-11
ACN13ACNGALGBSIDEte	1	1	1	1	1	1	1	1	1	1
ACN13ACNGALGBSIDEtg	1	1	1	1	1	1	1	1	1	1
ACN23ACNGALGBSIDEte	1	1	1	1	1	1	1	1	1	1
ACN23ACNGALGBSIDEtg	1	1	1	1	1	1	1	1	1	1
ACNACNGAL14ACGLCGALGLUSIDEte	1	1	1	1	1	1	1	1	1	1
ACNACNGAL14ACGLCGALGLUSIDEtg	1	1	1	1	1	1	1	1	1	1
ACNACNGALGBSIDEte	1	1	1	1	1	1	1	0	1	1
ACNACNGALGBSIDEtg	1	1	1	1	1	1	1	0	1	1
ACNAM9PL	1	1	1	1	1	1	1	1	1	1
ACNAM9PL2	1	1	1	1	1	1	1	1	1	1
ACNAMlt	1	1	1	1	1	1	1	1	1	1
ACNAMPH	1	1	1	1	1	1	1	1	1	1
ACNAMtn	1	1	1	1	1	1	1	1	1	1
ACNGALACGLCGAL14ACGLCGALGLUSIDEte	1	1	1	1	1	1	1	1	1	1
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg	1	1	1	1	1	1	1	1	1	1
ACNMLr	1	1	1	1	1	1	1	1	1	1
ACOAD10m	1	1	1	1	1	1	1	1	1	1
ACOAD1fm	1	1	1	1	1	1	1	1	1	1
ACOAD8m	1	1	1	1	1	1	1	1	1	1
ACOAD9m	1	1	1	1	1	1	1	1	1	1
ACOAHi	0	0	0	0	0	0	0	0	0	0
ACOAO7p	1	1	1	1	1	1	1	1	1	1
ACONT	1	1	1	1	1	1	1	1	1	1
ACONTm	1	1	1	1	1	1	1	1	1	1
ACOX22x	1	1	1	1	1	1	1	1	1	1
ACOX2x	1	1	1	1	1	1	1	1	1	1
ACP1_FMN_	1	1	1	1	1	1	1	1	1	1
ACRNtm	1	1	1	1	1	1	1	1	1	1
ACS	1	1	1	1	1	1	1	1	1	1
ACS2	1	1	1	1	1	1	1	1	1	1
ACSm	1	1	1	1	1	1	1	1	1	1
ACt2m	0	1	0	0	0	0	0	0	0	0
ACt2r	0	0	0	0	0	0	0	0	0	0
ACTLMO	0	0	0	0	0	0	0	0	0	0
ACTNMO	1	1	1	1	1	1	1	1	1	1
ACYP	1	1	1	1	1	1	1	1	1	1
ADA	0	0	0	0	1	1	1	1	1	0
ADAe	0	0	0	0	1	1	1	1	1	0
ADCim	1	1	1	1	1	1	1	1	1	1
ADEt	1	1	1	1	1	1	1	1	1	1
ADK1	1	1	1	1	1	1	1	1	1	1
ADK1m	1	1	1	1	1	1	1	1	1	1
ADK3	0	0	0	0	0	0	0	0	0	0
ADK3m	1	1	1	1	1	1	1	1	1	1
ADKd	0	0	0	0	0	0	0	0	0	0
ADMDC	1	1	1	1	1	1	1	1	1	1
ADNCYC	1	1	1	1	1	1	1	1	1	1
ADNK1	1	1	1	1	1	1	1	1	1	1
ADNK1m	1	1	1	1	1	1	1	1	1	1
ADNt	1	1	1	1	1	1	1	1	1	1
ADNt4	0	0	0	0	1	0	0	1	0	0
ADNtm	1	1	1	1	1	1	1	1	1	1
ADPRDP	1	1	1	1	1	1	1	1	1	1
ADPRIBt	1	0	0	1	1	1	1	1	1	1
ADPT	1	1	1	1	1	1	1	1	1	1
ADPtx	0	0	0	0	0	0	0	0	0	0
ADRNCOAtx	1	0	1	0	1	0	1	1	0	1
ADRNCPT1	1	1	1	1	1	1	1	1	1	1
ADRNCPT2	1	1	1	1	1	1	1	1	1	1
ADRNCRNt	1	1	1	1	1	1	1	1	1	1
ADRNLPVESSEC	1	1	0	1	0	0	0	0	1	1
ADRNt	0	1	0	1	0	0	0	0	1	0
ADSK	1	1	1	1	1	1	1	1	1	1
ADSL1	1	1	1	1	1	1	1	1	1	1
ADSL2	1	1	1	1	1	1	1	1	1	1
ADSS	1	1	1	1	1	1	1	1	1	1
AFLATOXINte	1	1	0	0	0	0	0	0	1	0
AG13T10g	1	1	1	1	1	1	1	1	1	1
AG13T11g	1	1	1	1	1	1	1	1	1	1
AG13T12g	1	1	1	1	1	1	1	1	1	1
AG13T13g	1	1	1	1	1	1	1	1	1	1
AG13T14g	1	1	1	1	1	1	1	1	1	1
AG13T15g	1	1	1	1	1	1	1	1	1	1
AG13T16g	1	1	1	1	1	1	1	1	1	1
AG13T17g	1	1	1	1	1	1	1	1	1	1
AG13T18g	1	1	1	1	1	1	1	1	1	1
AG13T1g	1	1	1	1	1	1	1	1	1	1
AG13T2g	1	1	1	1	1	1	1	1	1	1
AG13T3g	1	1	1	1	1	1	1	1	1	1
AG13T4g	1	1	1	1	1	1	1	1	1	1
AG13T5g	1	1	1	1	1	1	1	1	1	1
AG13T6g	1	1	1	1	1	1	1	1	1	1
AG13T7g	1	1	1	1	1	1	1	1	1	1
AG13T8g	1	1	1	1	1	1	1	1	1	1
AG13T9g	1	1	1	1	1	1	1	1	1	1
AGDC	1	1	1	1	1	1	1	1	1	1
AGMTm	1	0	0	0	1	0	1	0	0	1
AGPAT1	1	1	1	1	1	1	1	1	1	1
AGTim	1	1	1	1	1	1	1	1	1	1
AGTix	0	0	0	0	0	0	0	0	0	0
AHC	1	1	1	1	1	1	1	1	1	1
AHCYStr	1	1	1	1	1	1	1	1	1	1
AHEXASE2ly	1	1	1	1	1	1	1	1	1	1
AHEXASEly	1	1	1	1	1	1	1	1	1	1
AICART	1	1	1	1	1	1	1	1	1	1
AIRCr	1	1	1	1	1	1	1	1	1	1
AK2LGCHOLt	0	0	0	0	0	0	0	0	0	0
AKGDm	1	1	1	1	1	1	1	1	1	1
AKGMALtm	1	1	1	1	1	1	1	1	1	1
AKGt4_3	0	0	0	1	1	1	0	0	0	0
AKGtp	1	1	1	1	1	1	1	1	1	1
AKR1C1	1	1	1	1	1	1	1	1	1	1
AKR1C41	1	1	1	1	0	0	1	1	1	1
AKR1C42	0	0	0	0	0	0	0	0	0	0
AKR1D	0	0	0	0	1	1	0	0	0	0
AKR1D2	1	1	1	1	1	1	1	1	1	1
ALAASNNaEx	1	1	1	1	1	1	1	1	1	1
ALACYSNaEx	1	1	1	1	1	1	1	1	1	1
ALADGLNexR	0	0	1	0	0	1	0	0	0	0
ALADGLYexR	1	1	0	1	1	0	1	1	1	1
ALAGLNexR	0	0	0	0	0	0	0	0	0	0
ALAGLNNaEx	1	1	1	1	1	1	1	1	1	1
ALAGLYexR	0	0	0	0	0	0	0	0	0	0
ALAR	1	1	1	1	1	1	1	1	1	1
ALASERNaEx	1	1	1	1	1	1	1	1	1	1
ALASm	1	1	1	1	1	1	1	1	1	1
ALAt2r	1	1	1	1	1	1	1	1	1	1
ALAt4	1	1	1	1	1	1	1	1	1	1
ALATA_L	1	1	1	1	1	1	1	1	0	1
ALATHRNaEx	1	1	1	1	1	1	1	1	1	1
ALAtN1	1	1	1	1	1	1	1	1	1	1
ALCD1	1	1	1	1	1	1	1	1	1	1
ALCD21_D	1	1	1	1	1	1	1	1	1	1
ALCD21_L	1	1	1	1	1	1	1	1	1	1
ALCD22_D	1	1	1	1	1	1	1	1	1	1
ALCD22_L	1	1	1	1	1	1	1	1	1	1
ALCD2if	1	1	1	1	1	1	1	1	1	1
ALCD2yf	1	1	1	1	1	1	1	1	1	1
ALDD21	1	1	1	1	1	1	1	1	1	1
ALDD2x	1	1	1	1	1	1	1	1	1	1
ALDD2xm	1	1	1	1	1	1	1	1	1	1
ALDD2y	1	1	1	1	1	1	1	1	1	1
ALDSTRNte	0	0	0	0	0	0	0	0	0	0
ALDSTRNtm	0	0	0	0	0	0	0	0	0	0
ALOX5	1	1	1	1	1	1	1	1	1	1
ALOX52	1	1	1	1	1	1	1	1	1	1
ALR2	1	1	1	1	1	1	1	1	1	1
ALR3	1	1	1	1	1	1	1	1	1	1
AMACR2p	1	1	1	1	1	1	1	1	1	1
AMACRp	1	1	1	1	1	1	1	1	1	1
AMANK	1	1	1	1	1	1	1	1	1	1
AMCOXO	1	1	1	1	1	1	1	1	1	1
AMETr	1	1	1	1	1	1	1	1	1	1
AMETt2m	1	1	1	1	1	1	1	1	1	1
AMPDA	1	1	1	1	1	1	1	1	1	1
AMPTASECG	1	1	1	1	1	1	1	1	1	1
AMPTASECGe	1	1	1	1	1	1	1	1	1	1
AMPtp	0	0	0	0	0	0	0	0	0	0
AMY1e	1	1	1	1	1	1	1	1	1	1
AMY2e	1	1	1	1	1	1	1	1	1	1
ANDRSTRNGLCte	1	1	1	1	1	1	1	1	1	1
ANDRSTRNGLCtr	1	1	1	1	1	1	1	1	1	1
ANDRSTRNte	0	0	0	0	0	0	0	0	1	0
